,League,Date,Time,Home,Away,Odd_H_Back,Odd_H_Lay,Odd_A_Back,Odd_A_Lay,Odd_D_Back,Odd_D_Lay,Odd_Under25_FT_Back,Odd_Under25_FT_Lay,Odd_Over25_FT_Back,Odd_Over25_FT_Lay,Odd_BTTS_Yes_Back,Odd_BTTS_Yes_Lay,Odd_BTTS_No_Back,Odd_BTTS_No_Lay,Odd_CS_0x0_Back,Odd_CS_0x0_Lay,Odd_CS_0x1_Back,Odd_CS_0x1_Lay,Odd_CS_0x2_Back,Odd_CS_0x2_Lay,Odd_CS_0x3_Back,Odd_CS_0x3_Lay,Odd_CS_1x0_Back,Odd_CS_1x0_Lay,Odd_CS_1x1_Back,Odd_CS_1x1_Lay,Odd_CS_1x2_Back,Odd_CS_1x2_Lay,Odd_CS_1x3_Back,Odd_CS_1x3_Lay,Odd_CS_2x0_Back,Odd_CS_2x0_Lay,Odd_CS_2x1_Back,Odd_CS_2x1_Lay,Odd_CS_2x2_Back,Odd_CS_2x2_Lay,Odd_CS_2x3_Back,Odd_CS_2x3_Lay,Odd_CS_3x0_Back,Odd_CS_3x0_Lay,Odd_CS_3x1_Back,Odd_CS_3x1_Lay,Odd_CS_3x2_Back,Odd_CS_3x2_Lay,Odd_CS_3x3_Back,Odd_CS_3x3_Lay,Odd_CS_Goleada_H_Back,Odd_CS_Goleada_H_Lay,Odd_CS_Goleada_A_Back,Odd_CS_Goleada_A_Lay,Odd_CS_Goleada_D_Back,Odd_CS_Goleada_D_Lay,ID_Evento,ID_Home,ID_Away,ID_Draw,IDMercado_Match_Odds,IDMercado_Over/Under_25_Goals,IDMercado_Both_teams_to_Score,IDMercado_Correct_Score,Goals_H,Goals_A,Back_Home,Back_Draw,Back_Away,Lay_Home,Lay_Draw,Lay_Away,Lay_0x1,Lay_0x2,Lay_1x0,Lay_0x0,Lay_Gol_H,Lay_Gol_A,Under45,over15,over25,under25,Lay_1x3,Lay_3x1,Lay_0x3,Lay_3x0,Lay_3x2,Lay_2x3
33,FRANCE - LIGUE 2,2024-09-20,15:00:00,Martigues,Grenoble,3.25,3.3,2.7,2.74,3.05,3.15,1.53,1.56,2.8,2.88,2.18,2.28,1.78,1.85,7.4,8.2,7.4,8.0,14.0,16.0,38.0,44.0,8.0,9.0,6.4,7.0,11.5,13.5,36.0,42.0,17.5,19.5,13.0,14.5,22.0,24.0,44.0,120.0,48.0,60.0,34.0,55.0,60.0,80.0,18.0,190.0,15.5,65.0,42.0,60.0,18.5,1000.0,33596312,269794.0,269792.0,58805.0,1.233137009,1.233137054,1.233137093,1.233137018,0.0,4.0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1
34,FRANCE - LIGUE 2,2024-09-20,15:00:00,Caen,AC Ajaccio,2.14,2.18,3.95,4.1,3.4,3.55,1.61,1.64,2.56,2.64,2.18,2.3,1.77,1.85,8.4,9.6,10.0,11.5,24.0,28.0,48.0,95.0,6.4,7.4,7.2,7.6,16.0,19.0,46.0,65.0,10.5,12.0,10.0,11.5,22.0,26.0,60.0,95.0,25.0,27.0,24.0,28.0,44.0,60.0,15.5,200.0,10.0,25.0,14.5,90.0,16.0,1000.0,33596300,310510.0,8720753.0,58805.0,1.233137189,1.233137234,1.233137273,1.233137198,1.0,0.0,1,0,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1
35,BELGIUM - CHALLENGER PRO LEAGUE,2024-09-20,15:00:00,Beveren,Seraing,1.43,1.48,7.0,9.0,4.9,5.6,2.5,2.7,1.59,1.67,1.79,1.92,2.08,2.26,19.5,980.0,4.6,980.0,5.0,980.0,5.1,980.0,3.8,13.5,6.0,14.5,4.6,980.0,5.0,980.0,3.45,980.0,3.7,12.5,4.4,980.0,5.0,980.0,9.2,15.5,4.2,17.5,4.6,980.0,5.0,980.0,2.74,5.7,5.0,980.0,5.2,1000.0,33592928,4910879.0,8727584.0,58805.0,1.233081445,1.23308149,1.233081529,1.233081454,0.0,0.0,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1
36,NETHERLANDS - EERSTE DIVISIE,2024-09-20,15:00:00,Den Haag,Telstar,2.4,2.5,2.94,3.1,3.8,3.95,2.44,2.54,1.65,1.69,1.58,1.65,2.56,2.74,20.0,21.0,15.5,16.5,21.0,24.0,42.0,55.0,13.0,14.5,8.4,9.2,12.0,13.5,26.0,29.0,15.5,18.0,10.5,11.5,13.0,15.0,29.0,34.0,28.0,34.0,20.0,23.0,25.0,40.0,36.0,60.0,12.0,14.0,17.5,20.0,17.5,980.0,33595940,315069.0,11534958.0,58805.0,1.233126044,1.233126089,1.233126128,1.233126053,1.0,1.0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
37,NETHERLANDS - EERSTE DIVISIE,2024-09-20,15:00:00,Helmond,FC Volendam,2.3,2.36,3.15,3.35,3.75,3.85,2.38,2.46,1.69,1.73,1.58,1.72,2.38,2.74,17.5,20.0,15.5,17.5,23.0,26.0,44.0,980.0,12.0,13.5,8.4,9.0,12.5,13.5,27.0,32.0,15.0,17.5,10.0,11.0,14.0,15.0,32.0,40.0,27.0,32.0,19.5,22.0,26.0,30.0,32.0,70.0,11.5,13.0,18.5,23.0,16.5,980.0,33595929,419129.0,14170968.0,58805.0,1.233126605,1.23312665,1.233126689,1.233126614,2.0,3.0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0
38,NETHERLANDS - EERSTE DIVISIE,2024-09-20,15:00:00,Dordrecht,Excelsior,3.2,3.35,2.14,2.2,4.2,4.4,2.84,3.0,1.5,1.54,1.48,1.59,2.72,3.1,23.0,27.0,15.0,17.0,16.5,18.5,25.0,30.0,19.0,23.0,9.6,11.0,10.5,11.5,17.0,19.0,25.0,29.0,13.5,14.5,13.5,15.0,22.0,25.0,36.0,60.0,26.0,30.0,28.0,32.0,36.0,55.0,15.5,17.5,8.6,9.4,14.5,980.0,33595930,11434104.0,67164.0,58805.0,1.233126515,1.23312656,1.233126599,1.233126524,2.0,2.0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
39,SWITZERLAND - CHALLENGE LEAGUE,2024-09-20,15:15:00,Thun,Bellinzona,1.74,1.79,5.0,5.5,3.9,4.3,2.1,2.18,1.84,1.91,1.8,1.92,2.08,2.24,12.5,21.0,17.0,24.0,4.2,55.0,65.0,980.0,7.0,11.5,6.8,11.0,17.0,24.0,36.0,85.0,8.0,13.5,9.0,12.5,14.5,24.0,4.3,80.0,13.0,22.0,13.5,23.0,23.0,42.0,65.0,980.0,3.15,10.5,4.3,90.0,4.5,1000.0,33586392,176184.0,457840.0,58805.0,1.232997234,1.232997279,1.232997318,1.232997243,1.0,2.0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
40,SWITZERLAND - CHALLENGE LEAGUE,2024-09-20,15:15:00,Vaduz,Aarau,2.06,2.14,3.45,3.7,4.1,4.3,2.66,2.8,1.56,1.61,1.54,1.61,2.62,2.86,21.0,25.0,17.5,25.0,27.0,32.0,42.0,980.0,13.0,14.5,9.2,10.5,14.0,15.5,30.0,34.0,14.5,24.0,10.0,11.5,12.5,14.5,30.0,36.0,24.0,27.0,17.0,19.0,22.0,25.0,38.0,980.0,8.8,10.0,9.6,23.0,15.5,980.0,33586393,46945.0,65777.0,58805.0,1.232997144,1.232997189,1.232997228,1.232997153,2.0,5.0,0,0,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1
41,POLAND - DIVISION 1,2024-09-20,15:30:00,Wisla Plock,S. Rzeszow,1.86,1.97,4.0,4.6,3.9,4.4,2.26,2.42,1.71,1.79,1.65,1.76,2.32,2.54,15.5,27.0,5.3,24.0,5.9,980.0,5.7,980.0,8.4,11.5,8.2,11.5,12.5,980.0,5.6,980.0,4.4,16.0,8.8,10.5,11.5,980.0,5.4,980.0,15.5,26.0,13.5,22.0,20.0,36.0,5.7,980.0,3.85,10.5,5.4,980.0,6.0,980.0,33589797,487520.0,5817456.0,58805.0,1.233043141,1.233043186,1.233043225,1.23304315,1.0,1.0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
42,ITALY - SERIE B,2024-09-20,15:30:00,Catanzaro,Cremonese,2.92,3.05,2.66,2.76,3.35,3.4,1.95,1.97,2.02,2.06,1.78,1.82,2.22,2.3,12.0,13.0,10.5,11.5,15.5,17.5,34.0,40.0,11.0,12.0,7.0,7.4,11.0,12.0,26.0,29.0,17.5,19.5,12.0,13.5,15.5,17.0,29.0,44.0,40.0,46.0,29.0,34.0,40.0,46.0,20.0,90.0,13.5,29.0,21.0,24.0,50.0,980.0,33588945,522058.0,10513040.0,58805.0,1.233041245,1.233041255,1.233041244,1.233041254,1.0,2.0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
43,GERMANY - BUNDESLIGA,2024-09-20,15:30:00,Augsburg,Mainz,2.5,2.52,3.05,3.1,3.6,3.65,2.22,2.26,1.8,1.81,1.63,1.65,2.52,2.6,17.0,18.0,14.0,15.0,21.0,22.0,46.0,55.0,12.0,13.0,7.2,7.6,12.0,12.5,28.0,30.0,16.0,17.0,10.5,11.5,14.0,14.5,34.0,38.0,30.0,34.0,22.0,24.0,30.0,34.0,60.0,70.0,14.5,17.0,21.0,24.0,210.0,600.0,33567641,498560.0,64374.0,58805.0,1.232780603,1.232780587,1.232780602,1.232780612,2.0,3.0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0
44,SPAIN - LALIGA2,2024-09-20,15:30:00,Granada CF,Malaga,1.9,1.92,4.9,5.0,3.55,3.65,1.74,1.76,2.32,2.36,2.08,2.18,1.84,1.93,10.0,11.0,13.5,14.0,30.0,36.0,16.0,130.0,6.8,7.4,7.4,8.2,18.5,20.0,14.5,75.0,9.4,10.5,10.0,11.0,21.0,24.0,16.5,90.0,19.0,21.0,21.0,23.0,40.0,46.0,18.5,160.0,16.0,17.5,17.0,100.0,18.5,1000.0,33595225,2255452.0,13360.0,58805.0,1.233115257,1.233115267,1.233115256,1.233115266,2.0,2.0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
45,POLAND - EKSTRAKLASA,2024-09-20,15:30:00,Pogon Szczecin,Legia,2.76,2.82,2.82,2.88,3.4,3.5,2.04,2.08,1.92,1.96,1.71,1.75,2.34,2.42,13.5,14.5,11.5,12.5,17.5,21.0,38.0,46.0,11.0,12.5,7.2,7.8,11.0,12.5,27.0,30.0,16.5,18.5,10.5,12.0,15.0,16.0,36.0,40.0,32.0,42.0,25.0,30.0,34.0,42.0,34.0,95.0,16.0,23.0,16.5,25.0,17.5,980.0,33592280,46953.0,241091.0,58805.0,1.233072893,1.233072938,1.233072977,1.233072902,1.0,0.0,1,0,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1
46,WALES - CYMRU PREMIER,2024-09-20,15:45:00,Bala,Newtown,1.92,2.1,4.4,5.5,3.3,3.65,1.66,1.74,2.36,2.52,1.95,2.3,1.78,2.06,8.4,12.5,10.0,17.0,20.0,980.0,4.4,980.0,6.2,8.4,6.4,9.4,12.0,24.0,4.5,980.0,8.8,13.5,9.0,13.0,17.0,980.0,4.4,980.0,17.0,980.0,18.0,980.0,4.4,980.0,4.5,980.0,3.8,23.0,4.4,980.0,4.6,1000.0,33602464,4099627.0,3667299.0,58805.0,1.233191568,1.233191613,1.233191652,1.233191577,2.0,2.0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
47,IRELAND - PREMIER DIVISION,2024-09-20,15:45:00,Derry City,Shamrock Rovers,2.22,2.26,3.65,3.75,3.45,3.55,1.8,1.83,2.2,2.26,1.95,2.02,1.99,2.06,10.0,11.5,11.0,12.5,22.0,25.0,50.0,75.0,8.2,8.8,7.2,8.0,14.0,16.0,44.0,48.0,11.5,16.0,10.0,11.0,18.5,20.0,48.0,65.0,25.0,28.0,23.0,32.0,40.0,44.0,28.0,120.0,18.5,21.0,40.0,55.0,55.0,1000.0,33595803,298592.0,184325.0,58805.0,1.233123466,1.233123511,1.23312355,1.233123475,1.0,1.0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
48,IRELAND - PREMIER DIVISION,2024-09-20,15:45:00,Galway,Shelbourne,2.24,2.28,4.0,4.3,3.15,3.2,1.47,1.48,3.05,3.15,2.38,2.52,1.66,1.73,6.8,7.6,9.2,10.0,24.0,27.0,17.0,110.0,6.0,6.6,6.8,7.2,17.0,19.0,46.0,80.0,11.0,12.0,11.5,12.5,26.0,29.0,95.0,120.0,28.0,32.0,32.0,36.0,65.0,980.0,19.0,270.0,30.0,38.0,34.0,130.0,20.0,1000.0,33595805,318841.0,46928.0,58805.0,1.233123286,1.233123331,1.23312337,1.233123295,1.0,0.0,1,0,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1
49,IRELAND - PREMIER DIVISION,2024-09-20,15:45:00,St. Patricks,Waterford,1.65,1.68,5.7,5.9,4.3,4.6,2.24,2.28,1.78,1.8,1.81,1.88,2.14,2.24,17.0,19.5,21.0,22.0,34.0,48.0,17.0,980.0,8.8,9.8,9.0,9.6,20.0,21.0,42.0,90.0,9.6,10.5,9.0,9.6,18.0,19.5,40.0,70.0,14.5,16.0,15.0,16.5,28.0,32.0,48.0,100.0,7.6,8.4,19.0,75.0,36.0,1000.0,33586540,364471.0,364470.0,58805.0,1.232998481,1.232998526,1.232998565,1.23299849,3.0,0.0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1
50,IRELAND - PREMIER DIVISION,2024-09-20,15:45:00,Bohemians,Drogheda,1.92,1.93,4.3,4.5,3.85,3.95,2.1,2.16,1.87,1.9,1.78,1.85,2.18,2.28,14.5,15.5,15.5,17.0,29.0,34.0,75.0,90.0,9.2,10.0,8.0,8.8,15.5,17.0,46.0,55.0,11.0,12.0,9.4,10.0,16.5,18.0,50.0,60.0,20.0,22.0,17.5,19.0,30.0,34.0,75.0,95.0,9.8,12.5,15.0,50.0,36.0,980.0,33586539,3814.0,184329.0,58805.0,1.232998571,1.232998616,1.232998655,1.23299858,0.0,1.0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
51,ITALY - SERIE A,2024-09-20,15:45:00,Verona,Torino,2.86,2.9,3.0,3.05,3.1,3.15,1.56,1.58,2.72,2.76,2.14,2.2,1.83,1.87,8.2,8.6,8.2,8.6,16.0,17.0,46.0,55.0,8.0,8.4,6.6,6.8,13.0,13.5,38.0,44.0,16.0,16.5,13.0,13.5,22.0,23.0,65.0,70.0,46.0,48.0,38.0,42.0,60.0,70.0,140.0,170.0,46.0,60.0,44.0,55.0,380.0,1000.0,33569094,676465.0,44503.0,58805.0,1.232806603,1.232806587,1.232806602,1.232806612,2.0,3.0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0
52,BELGIUM - JUPILER PRO LEAGUE,2024-09-20,15:45:00,St. Liege,Royale Union SG,4.4,4.6,1.99,2.02,3.55,3.65,1.76,1.79,2.26,2.3,2.0,2.1,1.92,2.0,10.0,11.5,7.2,8.0,10.0,11.0,20.0,23.0,12.5,14.0,7.2,7.8,9.8,10.5,21.0,24.0,28.0,32.0,16.5,17.5,20.0,25.0,40.0,46.0,15.5,110.0,55.0,70.0,70.0,80.0,19.0,150.0,70.0,90.0,16.0,18.5,16.5,1000.0,33592500,571279.0,892024.0,58805.0,1.233076237,1.233076282,1.233076321,1.233076246,0.0,0.0,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1
53,FRANCE - LIGUE 1,2024-09-20,15:45:00,Nice,St Etienne,1.57,1.58,7.0,7.2,4.4,4.5,2.02,2.04,1.96,1.98,2.02,2.08,1.93,1.98,16.0,17.5,19.5,22.0,50.0,60.0,100.0,210.0,7.6,8.0,9.0,9.2,25.0,27.0,90.0,110.0,8.2,8.6,9.6,9.8,22.0,24.0,85.0,110.0,13.0,13.5,15.5,16.5,36.0,38.0,65.0,130.0,8.2,8.8,40.0,140.0,60.0,1000.0,33552495,189829.0,309689.0,58805.0,1.232624593,1.232624577,1.232624592,1.232624602,8.0,0.0,1,0,0,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1
54,ITALY - SERIE C,2024-09-20,15:45:00,Giana Erminio,AlbinoLeffe,2.22,2.38,3.8,4.5,2.98,3.45,1.56,1.64,2.56,2.8,2.04,2.4,1.71,1.96,6.6,10.5,8.4,14.0,17.5,980.0,4.2,980.0,6.2,9.0,6.2,9.0,13.0,980.0,4.1,980.0,9.2,15.0,8.8,14.5,15.5,980.0,4.2,980.0,18.0,980.0,21.0,980.0,4.1,980.0,4.3,980.0,3.85,980.0,4.2,980.0,4.4,1000.0,33599363,8802590.0,201255.0,58805.0,1.233158158,1.233158203,1.233158242,1.233158167,0.0,2.0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1
55,ITALY - SERIE C,2024-09-20,15:45:00,Vis Pesaro,Ternana,3.0,3.55,2.6,2.96,2.8,3.3,1.58,1.68,2.46,2.76,1.94,2.28,1.78,2.08,3.2,980.0,3.1,980.0,3.6,980.0,4.0,980.0,3.25,980.0,6.0,980.0,3.45,980.0,4.0,980.0,3.7,980.0,10.5,980.0,3.75,980.0,4.2,980.0,4.1,980.0,4.0,980.0,4.1,980.0,4.3,1000.0,4.1,980.0,3.95,980.0,4.3,1000.0,33599961,20089186.0,60308.0,58805.0,1.233166152,1.233166197,1.233166236,1.233166161,0.0,2.0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1
56,ITALY - SERIE C,2024-09-20,15:45:00,ACR Messina,Casertana,2.6,3.1,2.78,3.45,2.86,3.2,1.49,1.62,2.6,3.05,1.95,2.62,1.62,1.94,3.0,980.0,3.15,980.0,3.65,980.0,4.1,980.0,5.6,980.0,4.8,980.0,3.5,980.0,4.0,980.0,3.7,980.0,3.45,980.0,3.8,980.0,4.1,1000.0,4.0,980.0,4.0,980.0,4.1,1000.0,4.2,1000.0,4.0,980.0,4.1,980.0,4.3,1000.0,33606024,7602657.0,5727546.0,58805.0,1.233229942,1.233229987,1.233230026,1.233229951,2.0,2.0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
57,BOLIVIA - DIVISION PROFESIONAL,2024-09-20,16:00:00,Universitario de Vinto,Nacional Potosi,2.0,2.12,3.85,4.4,3.45,3.95,1.92,2.04,1.97,2.1,1.83,1.98,2.02,2.22,10.5,15.0,12.0,16.0,19.0,32.0,6.4,980.0,7.6,9.6,7.2,9.0,14.5,18.5,6.6,980.0,10.5,13.5,9.4,12.0,16.5,22.0,6.4,980.0,19.5,27.0,18.0,25.0,6.0,44.0,6.6,980.0,4.9,17.0,6.2,980.0,7.0,1000.0,33604670,21094424.0,5885611.0,58805.0,1.233217243,1.233217288,1.233217327,1.233217252,0.0,1.0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
58,ENGLAND - CHAMPIONSHIP,2024-09-20,16:00:00,Stoke,Hull,2.16,2.18,3.75,3.8,3.55,3.6,1.99,2.0,2.0,2.02,1.81,1.82,2.2,2.24,13.0,13.5,14.5,15.5,24.0,26.0,55.0,70.0,9.6,10.0,7.4,7.8,15.0,15.5,38.0,42.0,12.0,13.0,10.0,10.5,16.0,17.5,46.0,55.0,24.0,25.0,20.0,21.0,34.0,36.0,80.0,95.0,15.5,16.5,26.0,46.0,400.0,1000.0,33588663,69720.0,70385.0,58805.0,1.23302216,1.233022163,1.233022207,1.233022208,1.0,3.0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
59,SPAIN - LALIGA,2024-09-20,16:00:00,Alaves,Sevilla,2.24,2.26,3.85,3.9,3.35,3.4,1.72,1.73,2.36,2.4,1.98,2.04,1.97,2.02,10.5,11.0,11.0,12.0,23.0,24.0,70.0,80.0,7.6,8.0,6.6,7.2,15.0,16.0,48.0,55.0,11.5,12.5,10.0,11.0,18.5,19.5,65.0,70.0,27.0,28.0,25.0,26.0,46.0,48.0,110.0,140.0,22.0,25.0,55.0,65.0,530.0,1000.0,33590764,60324.0,52480974.0,58805.0,1.23305113,1.233051114,1.233051129,1.233051139,2.0,1.0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
60,PORTUGAL - LIGA PORTUGAL,2024-09-20,16:15:00,Nacional,Braga,5.1,5.2,1.74,1.75,4.3,4.4,2.38,2.42,1.71,1.72,1.72,1.77,2.3,2.4,18.0,19.5,10.0,11.0,11.0,12.0,16.0,18.0,20.0,23.0,9.0,9.4,9.4,9.6,15.0,17.0,38.0,44.0,18.0,19.0,16.5,18.5,26.0,28.0,17.5,120.0,50.0,60.0,48.0,60.0,65.0,85.0,15.5,65.0,7.6,8.4,18.0,980.0,33595897,22012893.0,48799.0,58805.0,1.233124673,1.233124683,1.233124672,1.233124682,0.0,3.0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1
61,ARGENTINA - LIGA PROFESIONAL,2024-09-20,17:30:00,Gimnasia L.P.,Dep. Riestra,1.98,2.02,4.7,4.9,3.4,3.5,1.69,1.71,2.4,2.46,2.14,2.22,1.83,1.88,9.2,10.5,12.0,13.5,30.0,34.0,80.0,120.0,6.8,7.4,7.2,7.6,18.0,19.5,50.0,75.0,9.8,10.5,10.0,11.0,20.0,24.0,36.0,95.0,20.0,22.0,21.0,24.0,42.0,50.0,48.0,160.0,16.5,19.5,85.0,110.0,24.0,1000.0,33572563,1213581.0,5994579.0,58805.0,1.232854084,1.232854094,1.232854083,1.232854093,0.0,0.0,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1
62,VENEZUELA - LIGA FUTVE,2024-09-20,18:45:00,Caracas,Monagas,2.44,2.74,2.88,3.35,3.25,3.65,1.81,1.96,2.04,2.24,1.75,2.02,1.98,2.32,8.8,980.0,8.6,14.0,14.5,980.0,4.2,980.0,7.6,12.5,6.4,9.6,10.0,980.0,4.4,980.0,11.5,980.0,9.0,15.0,4.4,980.0,4.2,980.0,4.1,980.0,4.3,980.0,4.2,980.0,4.3,980.0,3.85,980.0,4.0,980.0,4.4,1000.0,33604782,3738659.0,224547.0,58805.0,1.233218413,1.233218458,1.233218497,1.233218422,1.0,2.0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
63,URUGUAY - PRIMERA DIVISION,2024-09-20,19:30:00,Maldonado,Wanderers,2.82,2.96,2.96,3.15,2.96,3.15,1.56,1.62,2.58,2.8,2.02,2.24,1.81,1.97,7.6,9.4,8.0,10.0,15.0,21.0,23.0,980.0,7.8,10.0,6.2,7.4,11.0,15.0,6.8,65.0,15.0,19.0,10.5,14.5,18.0,25.0,29.0,980.0,6.4,980.0,21.0,46.0,29.0,980.0,40.0,980.0,23.0,980.0,23.0,60.0,7.4,1000.0,33596856,10932747.0,2794560.0,58805.0,1.233144227,1.233144272,1.233144311,1.233144236,1.0,3.0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
64,ARGENTINA - LIGA PROFESIONAL,2024-09-20,20:00:00,Union de Santa Fe,Godoy Cruz,1.86,1.88,6.0,6.2,3.3,3.35,1.5,1.52,2.92,3.0,2.52,2.64,1.61,1.66,7.0,7.6,12.0,14.5,36.0,48.0,44.0,210.0,5.3,5.7,7.2,7.8,22.0,26.0,40.0,140.0,8.4,9.2,10.5,11.5,30.0,34.0,44.0,180.0,18.5,20.0,25.0,29.0,55.0,75.0,22.0,330.0,21.0,24.0,48.0,300.0,20.0,1000.0,33572658,194516.0,1551296.0,58805.0,1.232852896,1.232852906,1.232852895,1.232852905,3.0,1.0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
65,BOLIVIA - DIVISION PROFESIONAL,2024-09-20,20:00:00,GV San Jose,Royal Pari,1.64,1.71,5.4,6.4,4.1,4.4,2.1,2.26,1.8,1.9,1.83,1.98,2.02,2.2,15.0,16.5,23.0,27.0,38.0,48.0,12.5,980.0,8.2,9.8,8.8,9.8,19.5,23.0,11.5,80.0,8.8,10.5,8.8,9.6,18.5,21.0,11.5,80.0,14.5,17.0,14.0,16.5,29.0,34.0,12.0,120.0,8.0,9.2,11.5,85.0,13.5,1000.0,33604692,61511713.0,16922830.0,58805.0,1.233217469,1.233217514,1.233217553,1.233217478,3.0,0.0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1
66,VENEZUELA - LIGA FUTVE,2024-09-20,21:30:00,Puerto Cabello,Angostura,1.53,1.67,6.6,9.2,3.8,4.4,1.77,2.14,1.88,2.3,2.04,2.32,1.75,1.95,9.4,15.5,3.85,980.0,4.2,980.0,4.3,980.0,6.0,8.8,7.4,11.0,3.95,980.0,4.3,980.0,7.0,10.5,7.6,12.5,4.0,980.0,4.3,980.0,10.5,980.0,14.0,980.0,4.2,980.0,4.3,1000.0,3.3,13.0,4.3,1000.0,4.4,1000.0,33604784,13442344.0,10160867.0,58805.0,1.233218323,1.233218368,1.233218407,1.233218332,1.0,1.0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
67,MEXICO - LIGA MX,2024-09-20,22:00:00,Atlas,Queretaro,1.72,1.74,5.9,6.2,3.85,3.95,1.82,1.84,2.18,2.22,2.06,2.18,1.86,1.95,10.5,13.0,16.5,19.0,40.0,46.0,16.0,180.0,7.0,7.4,8.0,8.6,21.0,23.0,15.0,95.0,8.4,9.4,9.2,10.0,22.0,24.0,15.0,110.0,15.0,16.5,18.0,21.0,40.0,44.0,16.0,170.0,10.0,12.5,14.5,130.0,22.0,1000.0,33593011,328950.0,328926.0,58805.0,1.233297816,1.233297819,1.233297863,1.233297864,0.0,1.0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
68,COLOMBIA - PRIMERA A,2024-09-20,22:00:00,Pereira,Patriotas,1.87,1.9,5.2,5.6,3.4,3.55,1.62,1.66,2.5,2.62,2.16,2.4,1.71,1.86,7.2,10.5,10.5,15.5,24.0,42.0,90.0,1000.0,5.7,7.8,6.6,9.2,15.0,26.0,60.0,1000.0,8.0,12.0,8.6,13.5,19.0,32.0,80.0,1000.0,16.0,25.0,20.0,29.0,44.0,65.0,150.0,240.0,1.01,21.0,1.01,1000.0,1.01,1000.0,33601530,5284708.0,9195442.0,58805.0,1.233266348,1.233266351,1.233266395,1.233266396,0.0,1.0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
69,MEXICO - LIGA MX,2024-09-20,22:00:00,Puebla,Pachuca,4.8,4.9,1.78,1.8,4.2,4.3,2.18,2.24,1.81,1.84,1.77,1.86,2.16,2.3,15.5,18.0,9.6,10.5,10.5,11.5,17.0,20.0,16.5,19.0,8.4,9.6,9.4,10.0,15.5,18.0,32.0,38.0,16.5,18.5,16.5,19.0,28.0,32.0,14.0,110.0,12.5,60.0,32.0,60.0,13.5,90.0,12.5,55.0,8.8,10.0,32.0,830.0,33593039,328956.0,328954.0,58805.0,1.233266708,1.233266711,1.233266755,1.233266756,2.0,3.0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0
