UpdateDate,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
12/07/2023,11:00,EUROPE - CHAMPIONS LEAGUE,FC Astana (Kaz),Dinamo Tbilisi (Geo),QUALIFICATION ,1.83,3.4,4.33,2.08,1.73,1.91,1.8
12/07/2023,13:00,EUROPE - CHAMPIONS LEAGUE,HJK (Fin),Larne (Nir),QUALIFICATION ,1.36,4.5,8.5,1.8,2.0,2.2,1.62
12/07/2023,14:00,EUROPE - CHAMPIONS LEAGUE,Hacken (Swe),TNS (Wal),QUALIFICATION ,1.13,7.0,17.0,1.44,2.7,2.5,1.5
12/07/2023,14:30,EUROPE - CHAMPIONS LEAGUE,Farul Constanta (Rou),Sheriff Tiraspol (Mda),QUALIFICATION ,2.3,3.0,3.25,2.7,1.44,2.25,1.57
12/07/2023,15:30,EUROPE - CHAMPIONS LEAGUE,Slovan Bratislava (Svk),Hesperange (Lux),QUALIFICATION ,1.22,6.0,10.0,1.53,2.4,2.1,1.67
12/07/2023,14:30,EUROPE - EUROPA CONFERENCE LEAGUE,Dudelange (Lux),St. Patricks (Irl),QUALIFICATION ,2.55,3.2,2.45,2.0,1.8,1.8,1.91
12/07/2023,15:00,EUROPE - EUROPA CONFERENCE LEAGUE,B36 Torshavn (Fai),Paide (Est),QUALIFICATION ,2.15,3.1,3.0,2.0,1.8,1.8,1.91
12/07/2023,21:30,CANADA - CANADIAN PREMIER LEAGUE,Cavalry,Atl. Ottawa,-,1.94,3.38,3.74,2.05,1.75,1.83,1.93
12/07/2023,20:00,CHILE - PRIMERA DIVISION,Coquimbo,Curico Unido,ROUND 16,1.85,3.
6,4.33,1.9,1.95,1.67,2.1
12/07/2023,08:35,CHINA - SUPER LEAGUE,Changchun Yatai,Zhejiang Professional,ROUND 16,2.3,3.5,2.9,1.7,2.1,1.57,2.25
12/07/2023,08:35,CHINA - SUPER LEAGUE,Meizhou Hakka,Beijing Guoan,ROUND 16,3.6,3.75,1.95,1.73,2.08,1.67,2.1
12/07/2023,08:35,CHINA - SUPER LEAGUE,Nantong Zhiyun,Dalian Pro,ROUND 16,2.15,3.25,3.75,2.15,1.67,1.91,1.91
12/07/2023,08:35,CHINA - SUPER LEAGUE,Qingdao Hainiu,Shenzhen,ROUND 16,1.33,5.0,9.0,1.73,2.08,2.1,1.67
12/07/2023,08:35,CHINA - SUPER LEAGUE,Shanghai Port,Wuhan Three Towns,ROUND 16,1.95,3.6,3.8,1.85,2.0,1.7,2.05
12/07/2023,14:30,EGYPT - PREMIER LEAGUE,Al Ittihad,Arab Contractors,ROUND 33,2.62,3.02,2.89,2.28,1.63,1.89,1.87
12/07/2023,12:00,FINLAND - VEIKKAUSLIIGA,Inter Turku,VPS,-,1.91,3.4,3.75,1.9,1.95,1.75,2.0
12/07/2023,07:00,SOUTH KOREA - K LEAGUE 1,Ulsan Hyundai,Incheon,ROUND 22,1.57,4.0,5.25,1.83,2.03,1.83,1.83
12/07/2023,07:30,SOUTH KOREA - K LEAGUE 1,Daejeon,Jeonbuk,ROUND 22,3.6,3.3,1.95,1.85,2.0,1.67,2.1
12/07/2023,07:30,SOUTH KOREA - K LEAGUE 1,Seoul,Suwon FC,ROUND 22,1.55,3.75,5.25,1.7,2.1,1.8,1.91
12/07/2023,07:30,SOUTH KOREA - K LEAGUE 1,Suwon Bluewings,Pohang,ROUND 22,4.2,3.4,1.85,2.08,1.73,1.83,1.83
12/07/2023,20:30,USA - MLS,New England Revolution,Atlanta Utd,-,1.85,3.75,3.75,1.57,2.35,1.53,2.38
12/07/2023,20:30,USA - MLS,New York Red Bulls,FC Cincinnati,-,1.95,3.3,3.8,2.0,1.85,1.8,1.95
12/07/2023,21:30,USA - MLS,Chicago Fire,CF Montreal,-,1.75,3.75,4.5,1.8,2.0,1.7,2.05
12/07/2023,21:30,USA - MLS,Houston Dynamo,Minnesota United,-,1.91,3.4,3.8,1.7,2.1,1.62,2.2
12/07/2023,21:30,USA - MLS,Nashville SC,Philadelphia Union,-,2.05,3.3,3.5,1.98,1.88,1.75,2.0
12/07/2023,21:30,USA - MLS,Sporting Kansas City,Real Salt Lake,-,1.85,3.6,4.0,1.67,2.15,1.62,2.2
12/07/2023,22:00,USA - MLS,Colorado Rapids,Portland Timbers,-,,,,,,,
12/07/2023,23:30,USA - MLS,Los Angeles FC,St. Louis City,-,1.57,4.0,5.75,1.53,2.4,1.62,2.2
12/07/2023,23:30,USA - MLS,San Jose Earthquakes,Seattle Sounders,-,2.63,3.2,2.63,1.93,1.93,1.7,2.05
12/07/2023,23:30,USA - MLS,Vancouver Whitecaps,Austin FC,-,1.73,4.0,4.5,1.53,2.4,1.57,2.25
12/07/2023,20:00,USA - USL CHAMPIONSHIP,Indy Eleven,Charleston,-,2.31,3.44,2.81,1.8,1.99,1.62,2.24
12/07/2023,20:30,USA - USL CHAMPIONSHIP,Detroit,Loudoun,-,1.73,3.76,4.25,2.05,1.75,1.9,1.86
12/07/2023,21:00,USA - USL CHAMPIONSHIP,Louisville City,Pittsburgh,-,2.05,3.24,3.54,2.25,1.63,1.92,1.84
12/07/2023,22:00,USA - USL CHAMPIONSHIP,El Paso,San Antonio,-,2.24,3.44,2.92,1.81,1.98,1.62,2.23
12/07/2023,22:00,USA - USL CHAMPIONSHIP,FC Tulsa,Miami FC,-,2.2,3.42,3.01,1.83,1.95,1.64,2.2
12/07/2023,23:00,USA - USL CHAMPIONSHIP,Oakland Roots,Memphis,-,2.12,3.5,3.1,1.75,2.05,1.6,2.27
